example_id,sent_id,sent,span,original_collocation,changed_collocation,Humorousness,Appropriateness,Grammaticality
0,0,melania trump says white house could mean millions for brand,"(5, 6)","('could_VERB', 'mean_VERB')","('could_VERB', 'resurface_VERB')",,,
1,1,multi-state manhunt in southeast intensifies for alleged murderer and accomplice,"(1, 2)","('-_ADJ', 'state_ADJ')","('-_ADJ', 'natal_ADJ')",,,
2,1,multi-state manhunt in southeast intensifies for alleged murderer and accomplice,"(1, 2)","('-_ADJ', 'state_ADJ')","('-_ADJ', 'estrogen_ADJ')",,,
3,2,dept. of justice cites 'national security' in calling for trump immigration order reinstatement,"(12, 13)","('trump_ADJ', 'immigration_NOUN')","('trump_ADJ', 'react_NOUN')",,,
4,2,dept. of justice cites 'national security' in calling for trump immigration order reinstatement,"(12, 13)","('trump_ADJ', 'immigration_NOUN')","('trump_ADJ', 'mount_NOUN')",,,
5,2,dept. of justice cites 'national security' in calling for trump immigration order reinstatement,"(12, 13)","('trump_ADJ', 'immigration_NOUN')","('trump_ADJ', 'shatter_NOUN')",,,
6,2,dept. of justice cites 'national security' in calling for trump immigration order reinstatement,"(12, 13)","('trump_ADJ', 'immigration_NOUN')","('trump_ADJ', 'neck_NOUN')",,,
7,2,dept. of justice cites 'national security' in calling for trump immigration order reinstatement,"(12, 13)","('trump_ADJ', 'immigration_NOUN')","('trump_ADJ', 'mask_NOUN')",,,
8,2,dept. of justice cites 'national security' in calling for trump immigration order reinstatement,"(12, 13)","('trump_ADJ', 'immigration_NOUN')","('trump_ADJ', 'walk_NOUN')",,,
9,2,dept. of justice cites 'national security' in calling for trump immigration order reinstatement,"(13, 14)","('immigration_NOUN', 'order_NOUN')","('immigration_NOUN', 'bombshell_NOUN')",,,
10,3,trump travel ban oral arguments: what you need to know,"(0, 1)","('trump_PROPN', 'travel_PROPN')","('trump_PROPN', 'booster_PROPN')",,,
11,4,"13,000 people hanged in secret at syrian prison, amnesty says","(1, 2)","('people_NOUN', 'hang_VERB')","('people_NOUN', 'citizenship_VERB')",,,
12,5,new study finds e-cigarettes are much safer and less toxic than tobacco,"(0, 1)","('new_ADJ', 'study_NOUN')","('new_ADJ', 'laugh_NOUN')",,,
13,6,education nominee betsy devos wins senate confirmation vote,"(5, 6)","('senate_PROPN', 'confirmation_NOUN')","('senate_PROPN', 'powerhouse_NOUN')",,,
14,7,"tax burden to be highest in 30 years, says think tank","(10, 11)","('think_VERB', 'tank_NOUN')","('think_VERB', 'divorce_NOUN')",,,
15,8,kyra poh: the 14-year-old who is the 'world's fastest flyer',"(13, 14)","('fast_ADJ', 'flyer_NOUN')","('fast_ADJ', 'lane_NOUN')",,,
16,9,reality check: will it be easier to build on green belt?,"(10, 11)","('green_ADJ', 'belt_NOUN')","('green_ADJ', 'donor_NOUN')",,,
17,10,collection of watches worth over $10 mln seized from detained sakhalin ex-governor,"(13, 14)","('-_NOUN', 'governor_NOUN')","('-_NOUN', 'ray_NOUN')",,,
18,11,"russia ready to take part in international conference on cypriot settlement ""?diplomat","(3, 4)","('take_VERB', 'part_NOUN')","('take_VERB', 'playtime_NOUN')",,,
19,12,russian far eastern safari park marks 10 years anniversary,"(7, 8)","('year_NOUN', 'anniversary_NOUN')","('year_NOUN', 'low_NOUN')",,,
